Ticker,Company Name,Industry,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Years
WINA,WINMARK CORP,Retail - Apparel & Specialty,78044280.0,0.042042726717013715,0.3159297628216834,0.6429552546045135,0.4840520987356694,5
OLPX,"Olaplex Holdings, Inc.",Retail - Apparel & Specialty,493171800.0,0.2894750451896136,0.251422228987698,0.36676612033894074,0.20705323232966136,5
EBAY,EBAY INC,Retail - Apparel & Specialty,9900800000.0,0.2580420035037377,0.3221600623721616,0.2831228432194903,0.45585303682238576,5
HWGC,HWGC Holdings Limited,Retail - Apparel & Specialty,3084279.0,0.13950780717308647,0.6075235087357531,0.25296868409116036,1.9190773597330202,1
SCI,SERVICE CORP INTERNATIONAL,Retail - Defensive,4009894000.0,0.7180367769591325,0.0423969632971964,0.23956625974367113,0.14665289171807705,5
BKE,BUCKLE INC,Retail - Apparel & Specialty,1203972600.0,0.5141595306064966,0.26530826216443454,0.22053220722906888,0.17308451882859283,5
LULU,lululemon athletica inc.,Retail - Apparel & Specialty,7795283600.0,0.4268398605043465,0.35392930891860674,0.21834401246491356,0.14552077885294049,5
BBWI,"Bath & Body Works, Inc.",Retail - Apparel & Specialty,7322400000.0,0.5441964339449837,0.2493185602415992,0.20648500581341706,0.12670271408670353,5
ORLY,O REILLY AUTOMOTIVE INC,Retail - Apparel & Specialty,14372529000.0,0.4824065892704592,0.3118950074199129,0.20569840330962785,0.15108882025486686,5
DECK,DECKERS OUTDOOR CORP,Retail - Apparel & Specialty,3719328200.0,0.4623121346847279,0.33566985859282256,0.20201800672244946,0.16143019501787598,5
AZO,AUTOZONE INC,Retail - Apparel & Specialty,15892251800.0,0.4729237489987139,0.3275129112809655,0.1995633397203206,0.14477207335070313,5
RH,RH,Retail - Apparel & Specialty,3152024000.0,0.5252462847431295,0.28327179000634334,0.19148192525052712,0.1246735990149181,3
VVV,VALVOLINE INC,Retail - Defensive,1212560000.0,0.6048698786325726,0.2058514469191946,0.19084057186435316,0.45962388504889506,5
ETSY,ETSY INC,Retail - Apparel & Specialty,2435511800.0,0.28356334521696386,0.4027490261912316,0.17165153323122828,0.07272322392233974,5
