Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,10106321000.0,-5624707000.0,-3731707000.0,749907000.0,493021000,11839636000.0,0.5565533689262393,0.36924485181105965,0.07420177926270104,0.04878342969711728,23.194718722686446
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,10997989000.0,-6074039000.0,-4101585000.0,822365000.0,596615000,12194209000.0,0.5522863316193534,0.372939543765683,0.0747741246149637,0.054247644728504456,23.224227003861994
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,9148874000.0,-4916004000.0,-3708252000.0,524618000.0,464402000,11986447000.0,0.5373343211415962,0.4053233217552237,0.05734235710318013,0.05076056354038759,23.20704243179611
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Retail - Defensive,2020,2021-02-28,69690400000.0,-49275900000.0,-18835800000.0,1578700000.0,850200000,26598000000.0,0.7070686923880477,0.27027825927243926,0.022653048339513045,0.012199671690792419,24.004101861937382
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Retail - Defensive,2021,2022-02-28,71887000000.0,-51164600000.0,-18300500000.0,2421900000.0,1619600000,28123000000.0,0.7117364753015148,0.25457314952633997,0.033690375172145175,0.022529803719726793,24.05985358383137
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Retail - Defensive,2022,2023-02-28,77649700000.0,-55894100000.0,-19596000000.0,2159600000.0,1513500000,26168200000.0,0.7198237726610663,0.2523641430681638,0.02781208427076988,0.0194913824522181,23.987810770075942
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Retail - Defensive,2023,2024-02-29,79237700000.0,-57192000000.0,-19932900000.0,2112800000.0,1296000000,26221100000.0,0.7217776386745198,0.251558286017893,0.02666407530758717,0.016355850813438554,23.98983026710983
ACU,ACME UNITED CORP,Consumer Defensive,Retail - Defensive,2020,2020-12-31,164003040.0,-104408326.0,-48182050.0,11412664.0,8098766,129867736.0,0.6366243333050412,0.29378754198702656,0.06958812470793224,0.04938180414216712,18.68202707511689
ACU,ACME UNITED CORP,Consumer Defensive,Retail - Defensive,2021,2021-12-31,182087559.0,-117287202.0,-52030370.0,12769987.0,13655679,144438684.0,0.6441252913934664,0.2857436844435923,0.0701310241629413,0.07499512363719478,18.788365643282454
ACU,ACME UNITED CORP,Consumer Defensive,Retail - Defensive,2022,2022-12-31,193962357.0,-130403572.0,-57285483.0,6273302.0,3034766,164377104.0,0.6723138139633971,0.29534330210268583,0.032342883933917134,0.015646159630860745,18.917673760814385
ACU,ACME UNITED CORP,Consumer Defensive,Retail - Defensive,2023,2023-12-31,191500947.0,-119290712.0,-59021618.0,13188617.0,17793160,149241316.0,0.6229249195305546,0.3082053583787238,0.06886972209072156,0.09291421415268511,18.82107512428961
