Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,ROA,Log_Assets
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,10106321000.0,-5624707000.0,-3731707000.0,749907000.0,493021000,11839636000.0,0.5565533689262393,0.36924485181105965,0.07420177926270104,0.04878342969711728,0.04164156735899651,23.194718722686446
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,10997989000.0,-6074039000.0,-4101585000.0,822365000.0,596615000,12194209000.0,0.5522863316193534,0.372939543765683,0.0747741246149637,0.054247644728504456,0.048926092705152094,23.224227003861994
AAP,ADVANCE AUTO PARTS INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,9148874000.0,-4916004000.0,-3708252000.0,524618000.0,464402000,11986447000.0,0.5373343211415962,0.4053233217552237,0.05734235710318013,0.05076056354038759,0.03874392470095601,23.20704243179611
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,3759113000.0,-2610966000.0,-977264000.0,8481000.0,-209274000,3434806000.0,0.6945697030123862,0.25997196679110207,0.0022561173340625833,-0.05567111177557046,-0.06092745849401684,21.957226283587676
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,5010785000.0,-3018995000.0,-1222000000.0,603009000.0,419629000,3786643000.0,0.6024994087752717,0.24387396385995408,0.12034222182751804,0.08374516168624277,0.11081821021944767,22.054745711551774
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,4989833000.0,-3244585000.0,-1269095000.0,269256000.0,125136000,3420956000.0,0.650239196381923,0.25433616716230784,0.053960924143152685,0.025078193999678946,0.036579248607699136,21.95318588112283
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,215916000.0,-89515000.0,-104261000.0,22140000.0,14334000,189439000.0,0.41458252283295355,0.4828776005483614,0.10253987661868505,0.06638692824987495,0.07566551766003832,19.059577630929766
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,562191000.0,-254527000.0,-291281000.0,16383000.0,-5968000,687846000.0,0.4527411502496482,0.5181175081066755,0.02914134164367626,-0.010615609285812117,-0.008676360697016484,20.349075533633027
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,611738000.0,-274491000.0,-335500000.0,1747000.0,-176697000,509638000.0,0.44870679931604707,0.5484374029404745,0.002855797743478417,-0.2888442437775649,-0.3467108025696671,20.049211227731004
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,546258000.0,-245978000.0,-315165000.0,-14885000.0,-98886000,361721000.0,0.45029638009878115,0.5769526487483936,-0.02724902884717478,-0.18102435113078436,-0.27337644206446404,19.70638375440201
